Reference OTL: "Der bucklichte Fiedler" ES WOHNET EIN FIEDLER ZU FRANKFURT AM MAIN
Reference ARE: Europa, Mitteleuropa, Deutschland, Westerwald
Reference SCT: Z1047
Reference YEM: Copyright 1995, estate of Helmut Schaffrath.
Info keysig no accidentals
Info key A Minor
Note	0	1000	64
Note	1000	2000	69
Note	2000	2500	68
Note	2500	3000	68
Note	3000	4000	69
Note	4000	4500	71
Note	4500	5000	71
Note	5000	6000	72
Note	6000	6500	71
Note	6500	7000	69
Note	7000	8000	71
Note	8000	9000	64
Note	9000	10000	69
Note	10000	10500	68
Note	10500	11000	68
Note	11000	12000	69
Note	12000	12500	71
Note	12500	13000	71
Note	13000	14000	72
Note	14000	14500	71
Note	14500	15000	69
Note	15000	16000	71
Note	16000	16500	64
Note	16500	17000	67
Note	17000	18000	72
Note	18000	18500	72
Note	18500	19000	72
Note	19000	20000	67
Note	20500	21000	76
Note	21000	21500	76
Note	21500	22000	74
Note	22000	22500	74
Note	22500	23000	72
Note	23000	24000	71
Note	24500	25000	71
Note	25000	26000	72
Note	26000	26500	71
Note	26500	27000	69
Note	27000	28000	68
Note	28500	29000	64
Note	29000	29500	69
Note	29500	30000	68
Note	30000	30500	69
Note	30500	31000	71
Note	31000	31500	72
Note	31500	32000	71
Note	32000	32500	69
Note	32500	33000	74
Note	33000	33500	72
Note	33500	34000	71
Note	34000	34500	69
Note	34500	35000	68
Note	35000	36000	69
Reference AGN: Romanze, Ballade
Reference ONB: ESAC (Essen Associative Code) Database: ZUCCAL
Reference AMT: simple quadruple
Reference AIN: vox
Reference EED: Helmut Schaffrath
Reference EEV: 1.0
